#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
6,1200,-0.26397929,0,0.22229421,1
7,1400,-0.26397929,0,0.22229421,1
8,1600,-0.26397929,0,0.22229421,0
9,1800,-0.26397929,0,0.22229421,0
10,2000,-0.26397929,0,0.22229421,0
11,2200,-0.26397929,0,0.22229421,1
12,2400,-0.26397929,0,0.22229421,0
13,2600,-0.26397929,0,0.22229421,0
14,2800,-0.26397929,0,0.22229421,0
15,3000,-0.26397929,0,0.22229421,0
16,3200,-0.29938301,0,0.22933284,1
17,3400,-0.30666667,0,0.24275781,1
18,3600,-0.30666667,0,0.24275781,0
19,3800,-0.30666667,0,0.24275781,0
20,4000,-0.30666667,0,0.24275781,0
21,4200,-0.30666667,0,0.24275781,0
22,4400,-0.30666667,0,0.24275781,0
23,4600,-0.30666667,0,0.24275781,0
24,4800,-0.30666667,0,0.24275781,0
25,5000,-0.30666667,0,0.24275781,0
26,5200,-0.57022476,0,0.23842799,1
27,5400,-0.57022476,0,0.23842799,0
28,5600,-0.57022476,0,0.23842799,0
29,5800,-0.57022476,0,0.23842799,0
30,6000,-0.57022476,0,0.23842799,0
31,6200,-0.57022476,0,0.23842799,1
32,6400,-0.6667307,0,0.11012584,2
33,6600,-0.6667307,0,0.11012584,0
34,6800,-0.6667307,0,0.11012584,1
35,7000,-0.6667307,0,0.11012584,0
36,7200,-0.6667307,0,0.11012584,0
37,7400,-0.6667307,0,0.11012584,0
38,7600,-0.6667307,0,0.11012584,1
39,7800,-0.6667307,0,0.11012584,0
40,8000,-0.6667307,0,0.11012584,0
41,8200,-0.6667307,0,0.11012584,1
42,8400,-0.6667307,0,0.11012584,0
43,8600,-0.6667307,0,0.11012584,1
44,8800,-0.6667307,0,0.11012584,0
45,9000,-0.6667307,0,0.11012584,0
46,9200,-0.6667307,0,0.11012584,1
47,9400,-0.6667307,0,0.11012584,0
48,9600,-0.6667307,0,0.11012584,0
49,9800,-0.6667307,0,0.11012584,0
50,10000,-0.6667307,0,0.11012584,2
51,10200,-0.6667307,0,0.11012584,0
52,10400,-0.6667307,0,0.11012584,1
53,10600,-0.6667307,0,0.11012584,0
54,10800,-0.6667307,0,0.11012584,0
55,11000,-0.6667307,0,0.11012584,0
56,11200,-0.6667307,0,0.11012584,0
57,11400,-0.6667307,0,0.11012584,0
58,11600,-0.6667307,0,0.11012584,0
59,11800,-0.6667307,0,0.11012584,0
60,12000,-0.6667307,0,0.11012584,1
61,12200,-0.6667307,0,0.11012584,1
62,12400,-0.6667307,0,0.11012584,0
63,12600,-0.6667307,0,0.11012584,0
64,12800,-0.6667307,0,0.11012584,0
65,13000,-0.6667307,0,0.11012584,0
66,13200,-0.6667307,0,0.11012584,0
67,13400,-0.6667307,0,0.11012584,0
68,13600,-0.6667307,0,0.11012584,0
69,13800,-0.6667307,0,0.11012584,0
70,14000,-0.6667307,0,0.11012584,0
71,14200,-0.6667307,0,0.11012584,1
72,14400,-0.6667307,0,0.11012584,0
73,14600,-0.6667307,0,0.11012584,0
74,14800,-0.6667307,0,0.11012584,1
75,15000,-0.6667307,0,0.11012584,0
76,15200,-0.6667307,0,0.11012584,0
77,15400,-0.6667307,0,0.11012584,1
78,15600,-0.6667307,0,0.11012584,1
79,15800,-0.6667307,0,0.11012584,1
80,16000,-0.6667307,0,0.11012584,1
81,16200,-0.6667307,0,0.11012584,0
82,16400,-0.6667307,0,0.11012584,1
83,16600,-0.6667307,0,0.11012584,0
84,16800,-0.6667307,0,0.11012584,0
85,17000,-0.6667307,0,0.11012584,0
86,17200,-0.6667307,0,0.11012584,0
87,17400,-0.6667307,0,0.11012584,0
88,17600,-0.6667307,0,0.11012584,1
89,17800,-0.6667307,0,0.11012584,0
90,18000,-0.6667307,0,0.11012584,0
91,18200,-0.6667307,0,0.11012584,0
92,18400,-0.6667307,0,0.11012584,0
93,18600,-0.6667307,0,0.11012584,0
94,18800,-0.6667307,0,0.11012584,0
95,19000,-0.6667307,0,0.11012584,0
96,19200,-0.6667307,0,0.11012584,0
97,19400,-0.6667307,0,0.11012584,1
98,19600,-0.6667307,0,0.11012584,1
99,19800,-0.6667307,0,0.11012584,0
100,20000,-0.6667307,0,0.11012584,0
101,20200,-0.6667307,0,0.11012584,0
102,20400,-0.6667307,0,0.11012584,0
103,20600,-0.6667307,0,0.11012584,0
104,20800,-0.6667307,0,0.11012584,0
105,21000,-0.6667307,0,0.11012584,0
106,21200,-0.6667307,0,0.11012584,0
