#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
9,450,-0.65333331,0,0.11087136,1
10,500,-0.65333331,0,0.11087136,0
11,550,-0.65333331,0,0.11087136,0
12,600,-0.65333331,0,0.11087136,0
13,650,-0.65333331,0,0.11087136,0
14,700,-0.7339021,0.00663103,0.21267362,5
15,750,-0.7339021,0.00663103,0.21267362,2
16,800,-0.7339021,0.00663103,0.21267362,5
17,850,-0.7339021,0.00663103,0.21267362,3
18,900,-0.73393947,0.00333333,0.22903162,6
19,950,-0.7454434,0.00666667,0.23385325,6
20,1000,-0.77666664,0.01,0.22233363,9
21,1050,-0.77666664,0.01,0.22233363,12
22,1100,-0.77803975,0.00525479,0.21053047,10
23,1150,-0.78144872,0.00666667,0.21355762,14
24,1200,-0.78144872,0.00666667,0.21355762,9
25,1250,-0.78144872,0.00666667,0.21355762,10
26,1300,-0.78144872,0.00666667,0.21355762,14
27,1350,-0.78144872,0.00666667,0.21355762,14
28,1400,-0.78496152,0.00666667,0.23385381,16
29,1450,-0.78496152,0.00666667,0.23385381,21
30,1500,-0.78502959,0.00666667,0.21706772,16
31,1550,-0.78768116,0.00666667,0.2322804,16
32,1600,-0.78768116,0.00666667,0.2322804,16
33,1650,-0.78768116,0.00666667,0.2322804,18
34,1700,-0.78768116,0.00666667,0.2322804,20
35,1750,-0.78768116,0.00666667,0.2322804,19
36,1800,-0.78768116,0.00666667,0.2322804,19
37,1850,-0.78852105,0.00666667,0.22284497,17
38,1900,-0.78852105,0.00666667,0.22284497,16
39,1950,-0.78852105,0.00666667,0.22284497,22
40,2000,-0.89662367,0.01333333,0.27221694,22
41,2050,-0.9666037,0.01333333,0.28561281,27
42,2100,-0.9666037,0.01333333,0.28561281,17
43,2150,-0.9666037,0.01333333,0.28561281,19
44,2200,-0.9666037,0.01333333,0.28561281,10
45,2250,-0.9666037,0.01333333,0.28561281,19
46,2300,-0.9666037,0.01333333,0.28561281,13
47,2350,-0.9666037,0.01333333,0.28561281,16
48,2400,-0.9666037,0.01333333,0.28561281,18
49,2450,-0.9666037,0.01333333,0.28561281,22
50,2500,-0.97938335,0.01174707,0.29247862,16
51,2550,-0.97938335,0.01174707,0.29247862,20
52,2600,-0.97938335,0.01174707,0.29247862,21
53,2650,-0.97938335,0.01174707,0.29247862,24
54,2700,-0.97938335,0.01174707,0.29247862,25
55,2750,-0.97938335,0.01174707,0.29247862,22
56,2800,-0.97938335,0.01174707,0.29247862,19
57,2850,-0.97938335,0.01174707,0.29247862,21
58,2900,-0.97938335,0.01174707,0.29247862,21
59,2950,-0.97938335,0.01174707,0.29247862,25
60,3000,-0.97938335,0.01174707,0.29247862,20
61,3050,-0.97938335,0.01174707,0.29247862,18
62,3100,-0.97938335,0.01174707,0.29247862,20
63,3150,-0.97938335,0.01174707,0.29247862,23
64,3200,-0.97938335,0.01174707,0.29247862,17
65,3250,-0.97938335,0.01174707,0.29247862,19
66,3300,-0.97938335,0.01174707,0.29247862,16
67,3350,-0.97938335,0.01174707,0.29247862,23
68,3400,-0.97938335,0.01174707,0.29247862,21
69,3450,-0.97938335,0.01174707,0.29247862,28
70,3500,-0.97938335,0.01174707,0.29247862,21
71,3550,-0.97938335,0.01174707,0.29247862,19
72,3600,-0.97938335,0.01174707,0.29247862,18
73,3650,-0.97938335,0.01174707,0.29247862,19
74,3700,-0.97938335,0.01174707,0.29247862,24
75,3750,-0.97938335,0.01174707,0.29247862,23
76,3800,-0.97938335,0.01174707,0.29247862,22
77,3850,-0.97938335,0.01174707,0.29247862,22
78,3900,-0.97938335,0.01174707,0.29247862,24
79,3950,-0.97938335,0.01174707,0.29247862,20
80,4000,-0.97938335,0.01174707,0.29247862,19
81,4050,-0.97938335,0.01174707,0.29247862,24
82,4100,-0.97938335,0.01174707,0.29247862,20
83,4150,-0.97938335,0.01174707,0.29247862,28
84,4200,-0.97938335,0.01174707,0.29247862,21
85,4250,-0.97938335,0.01174707,0.29247862,24
86,4300,-0.97938335,0.01174707,0.29247862,22
87,4350,-0.97938335,0.01174707,0.29247862,17
88,4400,-0.98000002,0.01147086,0.28299016,22
89,4450,-0.98000002,0.01147086,0.28299016,21
90,4500,-0.98000002,0.01147086,0.28299016,22
91,4550,-0.98000002,0.01147086,0.28299016,20
92,4600,-0.98000002,0.01147086,0.28299016,25
93,4650,-0.98000002,0.01147086,0.28299016,23
94,4700,-0.98000002,0.01147086,0.28299016,18
95,4750,-0.98000002,0.01147086,0.28299016,21
96,4800,-0.98000002,0.01147086,0.28299016,22
97,4850,-0.98000002,0.01147086,0.28299016,26
98,4900,-0.98000002,0.01147086,0.28299016,27
99,4950,-0.98000002,0.01147086,0.28299016,25
100,5000,-0.98000002,0.01147086,0.28299016,24
101,5050,-0.98000002,0.01147086,0.28299016,24
102,5100,-0.98000002,0.01147086,0.28299016,32
103,5150,-0.98000002,0.01147086,0.28299016,28
104,5200,-0.98000002,0.01147086,0.28299016,25
105,5250,-0.98000002,0.01147086,0.28299016,24
106,5300,-0.98000002,0.01147086,0.28299016,24
107,5350,-0.98000002,0.01147086,0.28299016,24
108,5400,-0.98000002,0.01147086,0.28299016,28
109,5450,-0.98000002,0.01147086,0.28299016,26
110,5500,-0.98000002,0.01147086,0.28299016,24
111,5550,-0.98000002,0.01147086,0.28299016,16
112,5600,-0.98000002,0.01147086,0.28299016,22
113,5650,-0.98000002,0.01147086,0.28299016,28
114,5700,-0.98000002,0.01147086,0.28299016,28
115,5750,-0.98000002,0.01147086,0.28299016,27
116,5800,-0.98000002,0.01147086,0.28299016,24
117,5850,-0.98000002,0.01147086,0.28299016,21
118,5900,-0.98000002,0.01147086,0.28299016,22
119,5950,-0.98000002,0.01147086,0.28299016,21
120,6000,-0.98000002,0.01147086,0.28299016,20
121,6050,-0.98000002,0.01147086,0.28299016,23
122,6100,-0.98000002,0.01147086,0.28299016,27
123,6150,-0.98000002,0.01147086,0.28299016,25
124,6200,-0.98000002,0.01147086,0.28299016,24
125,6250,-0.98000002,0.01147086,0.28299016,24
126,6300,-0.98000002,0.01147086,0.28299016,21
127,6350,-0.98000002,0.01147086,0.28299016,26
128,6400,-0.98000002,0.01147086,0.28299016,25
129,6450,-0.98000002,0.01147086,0.28299016,26
130,6500,-0.98000002,0.01147086,0.28299016,22
131,6550,-0.98000002,0.01147086,0.28299016,27
132,6600,-0.98000002,0.01147086,0.28299016,28
133,6650,-0.98000002,0.01147086,0.28299016,28
134,6700,-0.98000002,0.01147086,0.28299016,24
135,6750,-0.98000002,0.01147086,0.28299016,29
136,6800,-0.98000002,0.01147086,0.28299016,27
137,6850,-0.98000002,0.01147086,0.28299016,25
138,6900,-0.98000002,0.01147086,0.28299016,24
139,6950,-0.98000002,0.01147086,0.28299016,25
140,7000,-0.98000002,0.01147086,0.28299016,24
141,7050,-0.98000002,0.01147086,0.28299016,28
142,7100,-0.98000002,0.01147086,0.28299016,28
143,7150,-0.98000002,0.01147086,0.28299016,25
144,7200,-0.98000002,0.01147086,0.28299016,24
145,7250,-0.98000002,0.01147086,0.28299016,28
146,7300,-0.98000002,0.01147086,0.28299016,30
147,7350,-0.98000002,0.01147086,0.28299016,24
148,7400,-0.98000002,0.01147086,0.28299016,24
149,7450,-0.98000002,0.01147086,0.28299016,26
150,7500,-0.98000002,0.01147086,0.28299016,36
151,7550,-0.98000002,0.01147086,0.28299016,32
152,7600,-0.98000002,0.01147086,0.28299016,29
153,7650,-0.98000002,0.01147086,0.28299016,27
154,7700,-0.98000002,0.01147086,0.28299016,30
155,7750,-0.98000002,0.01147086,0.28299016,28
156,7800,-0.98000002,0.01147086,0.28299016,32
157,7850,-0.98000002,0.01147086,0.28299016,24
158,7900,-0.98000002,0.01147086,0.28299016,29
159,7950,-0.98000002,0.01147086,0.28299016,27
160,8000,-0.98000002,0.01147086,0.28299016,30
161,8050,-0.98000002,0.01147086,0.28299016,28
162,8100,-0.98000002,0.01147086,0.28299016,23
163,8150,-0.98000002,0.01147086,0.28299016,22
164,8200,-0.98000002,0.01147086,0.28299016,27
165,8250,-0.98000002,0.01147086,0.28299016,32
166,8300,-0.98000002,0.01147086,0.28299016,34
167,8350,-0.98000002,0.01147086,0.28299016,25
168,8400,-0.98000002,0.01147086,0.28299016,26
169,8450,-0.98000002,0.01147086,0.28299016,22
170,8500,-0.98000002,0.01147086,0.28299016,27
171,8550,-0.98000002,0.01147086,0.28299016,30
172,8600,-0.98000002,0.01147086,0.28299016,24
173,8650,-0.98000002,0.01147086,0.28299016,27
174,8700,-0.98000002,0.01147086,0.28299016,22
175,8750,-0.98000002,0.01147086,0.28299016,27
176,8800,-0.98000002,0.01147086,0.28299016,28
177,8850,-0.98000002,0.01147086,0.28299016,27
178,8900,-0.98000002,0.01147086,0.28299016,24
179,8950,-0.98000002,0.01147086,0.28299016,31
180,9000,-0.98000002,0.01147086,0.28299016,30
181,9050,-0.98000002,0.01147086,0.28299016,31
182,9100,-0.98000002,0.01147086,0.28299016,29
183,9150,-0.98000002,0.01147086,0.28299016,26
184,9200,-0.98000002,0.01147086,0.28299016,28
185,9250,-0.98000002,0.01147086,0.28299016,28
186,9300,-0.98000002,0.01147086,0.28299016,32
187,9350,-0.98000002,0.01147086,0.28299016,26
188,9400,-0.98000002,0.01147086,0.28299016,25
189,9450,-0.98000002,0.01147086,0.28299016,23
190,9500,-0.98000002,0.01147086,0.28299016,26
191,9550,-0.98000002,0.01147086,0.28299016,28
192,9600,-0.98000002,0.01147086,0.28299016,28
193,9650,-0.98000002,0.01147086,0.28299016,23
194,9700,-0.98000002,0.01147086,0.28299016,27
195,9750,-0.98000002,0.01147086,0.28299016,26
196,9800,-0.98000002,0.01147086,0.28299016,28
197,9850,-0.98000002,0.01147086,0.28299016,34
198,9900,-0.98000002,0.01147086,0.28299016,25
199,9950,-0.98000002,0.01147086,0.28299016,24
200,10000,-0.98000002,0.01147086,0.28299016,23
201,10050,-0.98000002,0.01147086,0.28299016,25
202,10100,-0.98000002,0.01147086,0.28299016,30
203,10150,-0.98000002,0.01147086,0.28299016,33
204,10200,-0.98000002,0.01147086,0.28299016,31
205,10250,-0.98000002,0.01147086,0.28299016,31
206,10300,-0.98000002,0.01147086,0.28299016,24
