#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
2,100,-0.56,0,0.17521048,1
3,150,-0.61816913,0,0.07906378,1
4,200,-0.61816913,0,0.07906378,1
5,250,-0.61816913,0,0.07906378,0
6,300,-0.61816913,0,0.07906378,0
7,350,-0.61816913,0,0.07906378,0
8,400,-0.68508321,0.0017499,0.1368042,2
9,450,-0.7138465,0.00333333,0.19855194,1
10,500,-0.7138465,0.00333333,0.19855194,2
11,550,-0.7138465,0.00333333,0.19855194,2
12,600,-0.7138465,0.00333333,0.19855194,2
13,650,-0.7138465,0.00333333,0.19855194,2
14,700,-0.7138465,0.00333333,0.19855194,2
15,750,-0.7138465,0.00333333,0.19855194,5
16,800,-0.7138465,0.00333333,0.19855194,8
17,850,-0.7694205,0.00666667,0.26268927,7
18,900,-0.7694205,0.00666667,0.26268927,3
19,950,-0.7694205,0.00666667,0.26268927,11
20,1000,-0.7694205,0.00666667,0.26268927,6
21,1050,-0.7694205,0.00666667,0.26268927,9
22,1100,-0.7694205,0.00666667,0.26268927,6
23,1150,-0.7694205,0.00666667,0.26268927,9
24,1200,-0.7694205,0.00666667,0.26268927,10
25,1250,-0.7694205,0.00666667,0.26268927,11
26,1300,-0.7694205,0.00666667,0.26268927,12
27,1350,-0.7694205,0.00666667,0.26268927,8
28,1400,-0.7694205,0.00666667,0.26268927,12
29,1450,-0.7694205,0.00666667,0.26268927,9
30,1500,-0.7694205,0.00666667,0.26268927,8
31,1550,-0.7694205,0.00666667,0.26268927,13
32,1600,-0.7694205,0.00666667,0.26268927,6
33,1650,-0.7694205,0.00666667,0.26268927,13
34,1700,-0.7694205,0.00666667,0.26268927,15
35,1750,-0.7694205,0.00666667,0.26268927,15
36,1800,-0.7694205,0.00666667,0.26268927,15
37,1850,-0.7694205,0.00666667,0.26268927,19
38,1900,-0.76944023,0.00666667,0.25269261,19
39,1950,-0.76944023,0.00666667,0.25269261,15
40,2000,-0.76944023,0.00666667,0.25269261,12
41,2050,-0.76944023,0.00666667,0.25269261,13
42,2100,-0.76944023,0.00666667,0.25269261,17
43,2150,-0.76944023,0.00666667,0.25269261,15
44,2200,-0.76944023,0.00666667,0.25269261,17
45,2250,-0.76944023,0.00666667,0.25269261,22
46,2300,-0.76968205,0.00666667,0.25992538,22
47,2350,-0.76968205,0.00666667,0.25992538,22
48,2400,-0.76968205,0.00666667,0.25992538,20
49,2450,-0.76968205,0.00666667,0.25992538,18
50,2500,-0.77470386,0.00666667,0.25381217,17
51,2550,-0.77470386,0.00666667,0.25381217,16
52,2600,-0.77470386,0.00666667,0.25381217,15
53,2650,-0.77470386,0.00666667,0.25381217,16
54,2700,-0.77470386,0.00666667,0.25381217,21
55,2750,-0.77470386,0.00666667,0.25381217,21
56,2800,-0.77470386,0.00666667,0.25381217,20
57,2850,-0.77470386,0.00666667,0.25381217,22
58,2900,-0.77470386,0.00666667,0.25381217,23
59,2950,-0.77470386,0.00666667,0.25381217,16
60,3000,-0.77470386,0.00666667,0.25381217,17
61,3050,-0.77470386,0.00666667,0.25381217,18
62,3100,-0.77470386,0.00666667,0.25381217,18
63,3150,-0.77470386,0.00666667,0.25381217,27
64,3200,-0.77470386,0.00666667,0.25381217,23
65,3250,-0.77470386,0.00666667,0.25381217,22
66,3300,-0.77470386,0.00666667,0.25381217,20
67,3350,-0.77470386,0.00666667,0.25381217,23
68,3400,-0.77470386,0.00666667,0.25381217,18
69,3450,-0.77470386,0.00666667,0.25381217,13
70,3500,-0.77470386,0.00666667,0.25381217,19
71,3550,-0.77585274,0.00666667,0.25518874,19
72,3600,-0.77585274,0.00666667,0.25518874,23
73,3650,-0.77585274,0.00666667,0.25518874,26
74,3700,-0.77585274,0.00666667,0.25518874,26
75,3750,-0.77585274,0.00666667,0.25518874,22
76,3800,-0.77585274,0.00666667,0.25518874,22
77,3850,-0.77585274,0.00666667,0.25518874,21
78,3900,-0.77585274,0.00666667,0.25518874,24
79,3950,-0.77585274,0.00666667,0.25518874,16
80,4000,-0.77585274,0.00666667,0.25518874,16
81,4050,-0.77585274,0.00666667,0.25518874,15
82,4100,-0.77585274,0.00666667,0.25518874,26
83,4150,-0.77585274,0.00666667,0.25518874,22
84,4200,-0.77585274,0.00666667,0.25518874,21
85,4250,-0.77585274,0.00666667,0.25518874,16
86,4300,-0.77585274,0.00666667,0.25518874,18
87,4350,-0.77585274,0.00666667,0.25518874,21
88,4400,-0.77585274,0.00666667,0.25518874,22
89,4450,-0.77585274,0.00666667,0.25518874,24
90,4500,-0.77585274,0.00666667,0.25518874,21
91,4550,-0.77585274,0.00666667,0.25518874,19
92,4600,-0.77585274,0.00666667,0.25518874,19
93,4650,-0.77585274,0.00666667,0.25518874,23
94,4700,-0.77585274,0.00666667,0.25518874,19
95,4750,-0.77585274,0.00666667,0.25518874,22
96,4800,-0.77585274,0.00666667,0.25518874,26
97,4850,-0.77585274,0.00666667,0.25518874,20
98,4900,-0.77585274,0.00666667,0.25518874,18
99,4950,-0.77585274,0.00666667,0.25518874,19
100,5000,-0.77585274,0.00666667,0.25518874,22
101,5050,-0.77585274,0.00666667,0.25518874,18
102,5100,-0.77585274,0.00666667,0.25518874,25
103,5150,-0.77585274,0.00666667,0.25518874,17
104,5200,-0.77585274,0.00666667,0.25518874,21
105,5250,-0.77585274,0.00666667,0.25518874,21
106,5300,-0.77585274,0.00666667,0.25518874,24
107,5350,-0.77585274,0.00666667,0.25518874,21
108,5400,-0.77585274,0.00666667,0.25518874,26
109,5450,-0.77585274,0.00666667,0.25518874,21
110,5500,-0.77585274,0.00666667,0.25518874,24
111,5550,-0.77585274,0.00666667,0.25518874,26
112,5600,-0.77585274,0.00666667,0.25518874,27
113,5650,-0.77585274,0.00666667,0.25518874,24
114,5700,-0.77585274,0.00666667,0.25518874,28
115,5750,-0.77585274,0.00666667,0.25518874,25
116,5800,-0.77585274,0.00666667,0.25518874,25
117,5850,-0.77585274,0.00666667,0.25518874,24
118,5900,-0.77585274,0.00666667,0.25518874,23
119,5950,-0.77585274,0.00666667,0.25518874,26
120,6000,-0.77585274,0.00666667,0.25518874,24
121,6050,-0.77585274,0.00666667,0.25518874,28
122,6100,-0.77585274,0.00666667,0.25518874,23
123,6150,-0.77585274,0.00666667,0.25518874,24
124,6200,-0.77585274,0.00666667,0.25518874,26
125,6250,-0.77585274,0.00666667,0.25518874,19
126,6300,-0.77585274,0.00666667,0.25518874,23
127,6350,-0.77585274,0.00666667,0.25518874,20
128,6400,-0.77585274,0.00666667,0.25518874,23
129,6450,-0.77585274,0.00666667,0.25518874,20
130,6500,-0.77585274,0.00666667,0.25518874,23
