ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.941635858	45.2	8.0	48.2	30.2	-0.97278267	0	0	48	8	51	32	34	8	37	23	0	0	24.670278787612915	10	24.670278787612915	10	0.0	
-0.976245952	45.2	8.0	48.2	30.2	-0.98000002	1	0	48	8	51	32	34	8	37	23	0	0	20.183471202850342	20	44.85374999046326	16	20.0	
-0.98000002	42.0	8.0	44.0	27.5	-0.98000002	2	0	48	8	51	32	34	8	37	23	0	0	17.138127088546753	30	61.99187707901001	23	23.33333333333333	
-0.98000002	43.4	8.0	45.4	28.4	-0.98000002	3	0	48	8	51	32	34	8	37	23	0	0	18.101963758468628	40	80.09384083747864	29	27.5	
-0.98000002	43.0	8.0	44.0	27.5	-0.98000002	4	0	48	8	51	32	34	8	37	23	0	0	16.674808025360107	50	96.76864886283875	33	34.0	
-0.98000002	47.1	8.0	49.6	31.1	-0.98000002	5	0	48	8	51	32	39	8	37	23	0	0	21.94300103187561	60	118.71164989471436	41	31.66666666666667	
-0.98000002	47.1	8.0	49.6	31.1	-0.98000002	6	0	48	8	51	32	39	8	37	23	0	0	18.272786140441895	70	136.98443603515625	48	31.42857142857143	
-0.98000002	48.0	8.0	51.0	32.0	-0.98000002	7	0	48	8	51	32	48	8	51	32	0	0	19.7230167388916	80	156.70745277404785	56	30.0	
-0.98000002	47.1	8.0	49.6	31.1	-0.98000002	8	0	48	8	51	32	39	8	37	23	0	0	16.08482313156128	90	172.79227590560913	62	31.111111111111114	
-0.98000002	46.2	8.0	48.2	30.2	-0.98000002	9	0	48	8	51	32	39	8	37	23	0	0	13.654407262802124	100	186.44668316841125	69	31.0	
-0.98000002	45.3	8.0	46.8	29.3	-0.98000002	10	0	48	8	51	32	39	8	37	23	0	0	12.948555707931519	110	199.39523887634277	75	31.818181818181827	
-0.98000002	44.4	8.0	45.4	28.4	-0.98000002	11	0	48	8	51	32	39	8	37	23	0	0	15.628005027770996	120	215.02324390411377	83	30.83333333333333	
-0.98000002	47.1	8.0	49.6	31.1	-0.98000002	12	0	48	8	51	32	39	8	37	23	0	0	16.678211212158203	130	231.70145511627197	93	28.461538461538467	
-0.98000002	48.0	8.0	51.0	32.0	-0.98000002	13	0	48	8	51	32	48	8	51	32	0	0	19.94641375541687	140	251.64786887168884	101	27.85714285714286	
-0.98000002	46.2	8.0	48.2	30.2	-0.98000002	14	0	48	8	51	32	39	8	37	23	0	0	15.172641038894653	150	266.8205099105835	109	27.33333333333333	
-0.98000002	47.1	8.0	49.6	31.1	-0.98000002	15	0	48	8	51	32	39	8	37	23	0	0	15.795156955718994	160	282.6156668663025	115	28.125	
-0.98000002	47.1	8.0	49.6	31.1	-0.98000002	16	0	48	8	51	32	39	8	37	23	0	0	13.188944101333618	170	295.8046109676361	122	28.235294117647058	
-0.98000002	48.0	8.0	51.0	32.0	-0.98000002	17	0	48	8	51	32	48	8	51	32	0	0	14.409780025482178	180	310.2143909931183	130	27.777777777777786	
-0.98000002	48.0	8.0	51.0	32.0	-0.98000002	18	0	48	8	51	32	48	8	51	32	0	0	16.097710132598877	190	326.31210112571716	134	29.473684210526315	
-0.98000002	48.0	8.0	51.0	32.0	-0.98000002	19	0	48	8	51	32	48	8	51	32	0	0	20.56314182281494	200	346.8752429485321	142	29.0	
-0.98000002	48.0	8.0	51.0	32.0	-0.98000002	20	0	48	8	51	32	48	8	51	32	0	0	19.00461220741272	210	365.8798551559448	150	28.57142857142857	
-0.98000002	48.0	8.0	51.0	32.0	-0.98000002	21	0	48	8	51	32	48	8	51	32	0	0	16.70547890663147	220	382.5853340625763	155	29.545454545454547	
-0.98000002	47.1	8.0	49.6	31.1	-0.98000002	22	0	48	8	51	32	39	8	37	23	0	0	17.706191778182983	230	400.2915258407593	162	29.565217391304344	
-0.98000002	45.3	8.0	46.8	29.3	-0.98000002	23	0	48	8	51	32	39	8	37	23	0	0	14.396724224090576	240	414.68825006484985	171	28.75	
-0.98000002	42.6	8.0	42.6	26.6	-0.98000002	24	0	48	8	51	32	39	8	37	23	0	0	12.725693941116333	250	427.4139440059662	181	27.60000000000001	
-0.98000002	41.7	8.0	41.2	25.7	-0.98000002	25	0	48	8	51	32	39	8	37	23	0	0	8.760848999023438	260	436.1747930049896	187	28.07692307692308	
-0.98000002	43.5	8.0	44.0	27.5	-0.98000002	26	0	48	8	51	32	39	8	37	23	0	0	9.97293210029602	270	446.14772510528564	194	28.148148148148138	
-0.98000002	41.7	8.0	41.2	25.7	-0.98000002	27	0	48	8	51	32	39	8	37	23	0	0	8.140252828598022	280	454.28797793388367	201	28.214285714285708	
-0.98000002	43.5	8.0	44.0	27.5	-0.98000002	28	0	48	8	51	32	39	8	37	23	0	0	9.896828174591064	290	464.18480610847473	207	28.620689655172413	
-0.98000002	44.4	8.0	45.4	28.4	-0.98000002	29	0	48	8	51	32	39	8	37	23	0	0	8.773147821426392	300	472.9579539299011	213	29.0	
-0.98000002	45.3	8.0	46.8	29.3	-0.98000002	30	0	48	8	51	32	39	8	37	23	0	0	9.817206144332886	310	482.775160074234	219	29.354838709677423	
-0.98000002	45.3	8.0	46.8	29.3	-0.98000002	30	0	48	8	51	32	39	8	37	23	0	0	9.817206144332886	310	482.775160074234	219	29.354838709677423	
