#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
2,400,-0.35024777,0,0.26642179,1
3,600,-0.56138682,0,0.04545962,1
4,800,-0.56138682,0,0.04545962,0
5,1000,-0.66459852,0.00158508,0.10223776,1
6,1200,-0.66459852,0.00158508,0.10223776,0
7,1400,-0.70316809,0.00333333,0.11502762,10
8,1600,-0.748155,0.00666667,0.24000273,11
9,1800,-0.95539427,0.01333333,0.26542022,18
10,2000,-0.95539427,0.01333333,0.26542022,10
11,2200,-0.97189224,0.01111417,0.28058814,34
12,2400,-0.97189224,0.01111417,0.28058814,17
13,2600,-0.97189224,0.01111417,0.28058814,39
14,2800,-0.97303647,0.01106196,0.27972296,38
15,3000,-0.97417271,0.01333333,0.29236727,67
16,3200,-0.97947562,0.01333333,0.28812068,56
17,3400,-0.98000002,0.01331254,0.285319,71
18,3600,-0.98000002,0.01331254,0.285319,68
19,3800,-0.98000002,0.01331254,0.285319,86
20,4000,-0.98000002,0.01331254,0.285319,84
21,4200,-0.98000002,0.01331254,0.285319,91
22,4400,-0.98000002,0.01331254,0.285319,91
23,4600,-0.98000002,0.01331254,0.285319,96
24,4800,-0.98000002,0.01331254,0.285319,97
25,5000,-0.98000002,0.01331254,0.285319,100
26,5200,-0.98000002,0.01331254,0.285319,100
27,5400,-0.98000002,0.01331254,0.285319,100
28,5600,-0.98000002,0.01331254,0.285319,100
29,5800,-0.98000002,0.01331254,0.285319,100
30,6000,-0.98000002,0.01331254,0.285319,100
31,6200,-0.98000002,0.01331254,0.285319,100
32,6400,-0.98000002,0.01331254,0.285319,100
33,6600,-0.98000002,0.01331254,0.285319,100
34,6800,-0.98000002,0.01331254,0.285319,100
35,7000,-0.98000002,0.01331254,0.285319,100
36,7200,-0.98000002,0.01331254,0.285319,100
37,7400,-0.98000002,0.01331254,0.285319,100
38,7600,-0.98000002,0.01331254,0.285319,100
39,7800,-0.98000002,0.01331254,0.285319,100
40,8000,-0.98000002,0.01331254,0.285319,100
41,8200,-0.98000002,0.01331254,0.285319,100
42,8400,-0.98000002,0.01331254,0.285319,100
43,8600,-0.98000002,0.01331254,0.285319,100
44,8800,-0.98000002,0.01331254,0.285319,100
45,9000,-0.98000002,0.01331254,0.285319,100
46,9200,-0.98000002,0.01331254,0.285319,100
47,9400,-0.98000002,0.01331254,0.285319,100
48,9600,-0.98000002,0.01331254,0.285319,100
49,9800,-0.98000002,0.01331254,0.285319,100
50,10000,-0.98000002,0.01331254,0.285319,100
51,10200,-0.98000002,0.01331254,0.285319,100
52,10400,-0.98000002,0.01331254,0.285319,100
53,10600,-0.98000002,0.01331254,0.285319,100
54,10800,-0.98000002,0.01331254,0.285319,100
55,11000,-0.98000002,0.01331254,0.285319,100
56,11200,-0.98000002,0.01331254,0.285319,100
57,11400,-0.98000002,0.01331254,0.285319,100
58,11600,-0.98000002,0.01331254,0.285319,100
59,11800,-0.98000002,0.01331254,0.285319,100
60,12000,-0.98000002,0.01331254,0.285319,100
61,12200,-0.98000002,0.01331254,0.285319,100
62,12400,-0.98000002,0.01331254,0.285319,100
63,12600,-0.98000002,0.01331254,0.285319,100
64,12800,-0.98000002,0.01331254,0.285319,100
65,13000,-0.98000002,0.01331254,0.285319,100
66,13200,-0.98000002,0.01331254,0.285319,100
67,13400,-0.98000002,0.01331254,0.285319,100
68,13600,-0.98000002,0.01331254,0.285319,100
69,13800,-0.98000002,0.01331254,0.285319,100
70,14000,-0.98000002,0.01331254,0.285319,100
71,14200,-0.98000002,0.01331254,0.285319,100
72,14400,-0.98000002,0.01331254,0.285319,100
73,14600,-0.98000002,0.01331254,0.285319,100
74,14800,-0.98000002,0.01331254,0.285319,100
75,15000,-0.98000002,0.01331254,0.285319,100
76,15200,-0.98000002,0.01331254,0.285319,100
77,15400,-0.98000002,0.01331254,0.285319,100
78,15600,-0.98000002,0.01331254,0.285319,100
79,15800,-0.98000002,0.01331254,0.285319,100
80,16000,-0.98000002,0.01331254,0.285319,100
81,16200,-0.98000002,0.01331254,0.285319,100
